page,car_name,model_variant,url,price_preview,main_image_url,name,model,prix,images,Moteur_and_Infos_techniques_Motorisation,Moteur_and_Infos_techniques_value,Moteur_and_Infos_techniques_Energie,Moteur_and_Infos_techniques_Puissance_fiscale,Moteur_and_Infos_techniques_Transmission,Moteur_and_Infos_techniques_Architecture,Moteur_and_Infos_techniques_Couple_maxi,Conso._and_performances_Conso_mixte,Conso._and_performances_value,Conso._and_performances_Vitesse_maxi,Conso._and_performances_Acceleration_0_100,Dimensions_and_volumes_Categorie,Dimensions_and_volumes_Carrosserie,Dimensions_and_volumes_Nombre_places,Dimensions_and_volumes_Poids_vide,Dimensions_and_volumes_value,Dimensions_and_volumes_Longueur,Dimensions_and_volumes_Largeur,Dimensions_and_volumes_Hauteur,Dimensions_and_volumes_Empattement,Sécurité_Airbags,Sécurité_ABS,Sécurité_ESP,Sécurité_Antipatinage,Sécurité_Aide_au_freinage_d'urgence,Sécurité_Antidémarrage_électronique,Sécurité_Aide_au_démarrage_en_côte,Sécurité_Sélecteur_de_mode_de_conduite,Sécurité_Détection_de_fatigue,Sécurité_Maintien_dans_la_voie,Sécurité_Détecteur_d'angle_mort,Sécurité_Détecteur_de_sous-gonflage,Sécurité_Fermeture_de_portes_auto.,Sécurité_Préparation_ISOFIX,Sécurité_Phares_antibrouillard,Sécurité_Système_d'alarme,Confort_Climatisation,Confort_Systeme_audio,Confort_Ordinateur_de_bord,Confort_Start_and_Stop,Confort_Régulateur_de_vitesse,Confort_Détecteur_de_pluie,Confort_Allumage_auto._des_feux,Confort_Frein_à_main_électrique,Confort_Ecran_tactile,Confort_Cockpit_digital,Confort_Reconnaissance_de_panneaux,Confort_Affichage_Tête-Haute,Confort_Aide_au_stationnement,Confort_Caméra_de_recul,Confort_Park_Assist_Auto.,Confort_Commandes_au_volant,Confort_Commandes_vocales,Confort_value,Confort_Rétros._électriques,Confort_Rétros._rabattables_électriques,Confort_Coffre_électrique,Confort_Mains_libres,Confort_Sièges_électriques,Confort_Sièges_élec._avec_mémoire,Confort_Banquette_arrière_rabattable_1/3-2/3,Confort_Navigation_GPS,Confort_WiFi_à_bord,Confort_Bluetooth,Confort_Compatibilité_smartphone,Confort_Chargeur/mobile_sans_fil,Esthétique_Jantes_aluminium,Esthétique_Sellerie,Esthétique_Volant_cuir,Esthétique_Follow-me_home,Esthétique_Lumière_d'ambiance,Esthétique_Feux_de_jour,Esthétique_Phares,Esthétique_Toit,Esthétique_Barres_de_toit,Esthétique_Vitres_sur-teintées,Confort_Vitres_électriques,Esthétique_value,Moteur_and_Infos_techniques_Cylindree,Conso._and_performances_Conso_ville,Conso._and_performances_Conso_route,Conso._and_performances_Emission_CO2,Confort_Hauteur,Esthétique_Jantes,Confort_Système_audio,Confort_Volant_réglable,Moteur_and_Infos_techniques_Palettes_au_volant
1,Citroen AMI,6 kW AT Standard,https://www.wandaloo.com/neuf/citroen/ami/fiche-technique/6-kw-at-standard/19761.html,90.900DH,https://www.wandaloo.com/files/Voiture-Neuve/citroen-ami.jpg,CITROEN AMI6 kW AT Standard neuve au Maroc - Fiche Technique,Mon comparatif,121.500DH *promo,https://www.wandaloo.com/files/Voiture-Neuve/citroen-ami.jpg; https://www.wandaloo.com/files/2022/05/CITROEN-C4-Voiture-Annee-COTY-2022-Maroc-video.jpg; https://www.wandaloo.com/files/Voiture-Neuve/citroen-c-elysee.jpg; https://www.wandaloo.com/files/Voiture-Neuve/citroen-c3.jpg; https://www.wandaloo.com/files/Voiture-Neuve/citroen-c4-prochain.jpg; https://www.wandaloo.com/files/Voiture-Neuve/citroen-c4-x-prochain.jpg; https://www.wandaloo.com/files/Voiture-Neuve/citroen/CITROEN-C4-X-2025-Neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/citroen/CITROEN-C4-2025-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/citroen/CITROEN-Berlingo-2024-neuve-Maroc-07.jpg; https://www.wandaloo.com/files/Voiture-Neuve/citroen/CITROEN-C4-X-2023-Neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/citroen/CITROEN-AMI-2021-Neuve-Maroc-03.jpg; https://www.wandaloo.com/files/Voiture-Neuve/citroen/Citroen-C4-2015-Neuve-Maroc-11.jpg,6 kWh,( en tout électrique ),Electrique,5cv,2 roues motrices ( 4x2 ou 2WD ),Électrique avant,-Nm,-kWh/100 km,sec.,45km/h,-sec.,Micro citadine,Mini citadine,2,485kg,litre,241cm,1210cm,152cm,172cm,0,NO,NO,NO,OUI,OUI,NO,NO,NO,NO,NO,NO,OUI,NO,OUI,NO,NO,"Radio, USB",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Vitres électriquesElectrique AV,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Tissu,NO,NO,NO,NO,Standard,Panoramique,NO,NO,,,,,,,,,,,
1,Opel Rocks-e,6 kW AT Tekno,https://www.wandaloo.com/neuf/opel/rocks-e/fiche-technique/6-kw-at-tekno/20573.html,107.000DH,https://www.wandaloo.com/files/Voiture-Neuve/opel-rocks-e.jpg,OPEL Rocks-e6 kW AT Tekno neuve au Maroc - Fiche Technique,Mon comparatif,125.000DH *promo,https://www.wandaloo.com/files/Voiture-Neuve/opel-rocks-e.jpg; https://www.wandaloo.com/files/Voiture-Neuve/opel/OPEL-Grandland-2025-Neuve-Maroc-17.jpg; https://www.wandaloo.com/files/Voiture-Neuve/opel/OPEL-Mokka-2021-Neuve-Maroc-07.jpg; https://www.wandaloo.com/files/Voiture-Neuve/opel/OPEL-Crossland-2021-Neuve-Maroc-11.jpg; https://www.wandaloo.com/files/Voiture-Neuve/opel/Opel-Crossland-X-2018-neuve-Maroc-06.jpg; https://www.wandaloo.com/files/Voiture-Neuve/opel/OPEL-Mokka-X-2017-neuve-Maroc-05.jpg,6 kWh AT,( en tout électrique ),Electrique,5cv,2 roues motrices ( 4x2 ou 2WD ),Électrique avant,-Nm,-kWh/100 km,sec.,45km/h,-sec.,Micro citadine,Mini citadine électrique,2,485kg,litre,241cm,1210cm,152cm,173cm,0,NO,NO,NO,OUI,OUI,NO,NO,NO,NO,NO,NO,OUI,NO,OUI,NO,NO,"Radio, USB",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Volant réglableHauteur,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Tissu,NO,NO,NO,,full LED,Rigide,NO,NO,NO,Feux de jourLED,,,,,,,,,
1,Dacia Sandero Streetway,1.0 TCe 100 Essentiel,https://www.wandaloo.com/neuf/dacia/sandero-streetway/fiche-technique/1-0-tce-100-essentiel/18709.html,128.000DH,https://www.wandaloo.com/files/Voiture-Neuve/dacia-sandero-streetway.jpg,DACIA Sandero Streetway1.0 TCe 100 Essentiel neuve au Maroc - Fiche Technique,Mon comparatif,128.000DH ** Prix public,https://www.wandaloo.com/files/Voiture-Neuve/dacia-sandero-streetway.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-bigster.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-duster.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-logan.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-sandero.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Bigster-2025-Neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Spring-2023-Neuve-Maroc-09.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Logan-2021-Neuve-Maroc-04.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Duster-2022-Neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Duster-2018-neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Lodgy-Stepway-2016-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Logan-2016-neuve-Maroc-03.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Logan-2-2014-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Sandero-2016-neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Duster-2016-neuve-Maroc-12.jpg,1.0 TCe 100,ch,Essence,7cv,2 roues motrices ( 4x2 ou 2WD ),3 cylindres en ligne,160Nm,"5,5l/100 km",sec.,165km/h,"14,2sec.",Citadine,Citadine,5,1.122kg,litre,409cm,184cm,150cm,260cm,2,OUI,OUI,NO,OUI,OUI,OUI,NO,NO,NO,NO,NO,OUI,OUI,OUI,NO,manuelle,"Radio, USB",OUI,NO,OUI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OUI,NO,Vitres électriquesElectrique AV,OUI,NO,NO,NO,NO,NO,OUI,NO,NO,OUI,NO,NO,NO,Tissu,NO,NO,NO,OUI,Standard,Rigide,NO,NO,,,999cm³,"6,4l/100 km","4,9l/100 km",140g/km,et Profondeur,,,,
1,Dacia Sandero Streetway,1.5 dCi 95 Essentiel,https://www.wandaloo.com/neuf/dacia/sandero-streetway/fiche-technique/1-5-dci-95-essentiel/18710.html,148.000DH,https://www.wandaloo.com/files/Voiture-Neuve/dacia-sandero-streetway.jpg,DACIA Sandero Streetway1.5 dCi 95 Essentiel neuve au Maroc - Fiche Technique,Mon comparatif,148.000DH ** Prix public,https://www.wandaloo.com/files/Voiture-Neuve/dacia-sandero-streetway.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-bigster.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-duster.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-logan.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-sandero.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Bigster-2025-Neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Spring-2023-Neuve-Maroc-09.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Logan-2021-Neuve-Maroc-04.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Duster-2022-Neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Duster-2018-neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Lodgy-Stepway-2016-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Logan-2016-neuve-Maroc-03.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Logan-2-2014-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Sandero-2016-neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Duster-2016-neuve-Maroc-12.jpg,1.5 dCi 95,ch,Diesel,6cv,2 roues motrices ( 2WD ou 4x2 ),4 cylindres en ligne,220Nm,"4,1l/100 km",sec.,172km/h,"13,9sec.",Citadine,Citadine,5,1.122kg,litre,409cm,184cm,150cm,260cm,2,OUI,OUI,NO,OUI,OUI,OUI,NO,NO,NO,NO,NO,OUI,OUI,OUI,NO,manuelle,"Radio, USB",OUI,NO,OUI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OUI,NO,Vitres électriquesElectrique AV,OUI,NO,NO,NO,NO,NO,OUI,NO,NO,OUI,NO,NO,NO,Tissu,NO,NO,NO,OUI,Standard,Rigide,NO,NO,,,1.461cm³,"5,5l/100 km","3,8l/100 km",109g/km,et Profondeur,,,,
1,Dacia Sandero Streetway,1.5 dCi 95 Expression,https://www.wandaloo.com/neuf/dacia/sandero-streetway/fiche-technique/1-5-dci-95-expression/18711.html,161.000DH,https://www.wandaloo.com/files/Voiture-Neuve/dacia-sandero-streetway.jpg,DACIA Sandero Streetway1.5 dCi 95 Expression neuve au Maroc - Fiche Technique,Mon comparatif,161.000DH ** Prix public,https://www.wandaloo.com/files/Voiture-Neuve/dacia-sandero-streetway.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-bigster.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-duster.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-logan.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-sandero.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Bigster-2025-Neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Spring-2023-Neuve-Maroc-09.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Logan-2021-Neuve-Maroc-04.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Duster-2022-Neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Duster-2018-neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Lodgy-Stepway-2016-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Logan-2016-neuve-Maroc-03.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Logan-2-2014-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Sandero-2016-neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Duster-2016-neuve-Maroc-12.jpg,1.5 dCi 95,ch,Diesel,6cv,2 roues motrices ( 4x2 ou 2WD ),4 cylindres en ligne,220Nm,"4,1l/100 km",sec.,172km/h,"13,9sec.",Citadine,Citadine,5,1.122kg,litre,409cm,184cm,150cm,260cm,4,OUI,OUI,NO,OUI,OUI,OUI,NO,NO,NO,NO,NO,OUI,OUI,OUI,NO,manuelle,"Radio, USB",OUI,NO,OUI,NO,OUI,NO,OUI,NO,NO,NO,,,NO,OUI,NO,Vitres électriquesElectrique AV/AR,OUI,NO,NO,NO,NO,NO,OUI,NO,NO,OUI,NO,NO,,Tissu,NO,NO,NO,,full LED,Rigide,NO,OUI,,Feux de jourLED,1.461cm³,"5,5l/100 km","3,8l/100 km",109g/km,et Profondeur,aluminium16 pouces,,,
1,Dacia Sandero Streetway,1.5 dCi 95 Journey,https://www.wandaloo.com/neuf/dacia/sandero-streetway/fiche-technique/1-5-dci-95-journey/19742.html,169.000DH,https://www.wandaloo.com/files/Voiture-Neuve/dacia-sandero-streetway.jpg,DACIA Sandero Streetway1.5 dCi 95 Journey neuve au Maroc - Fiche Technique,Mon comparatif,169.000DH ** Prix public,https://www.wandaloo.com/files/Voiture-Neuve/dacia-sandero-streetway.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-bigster.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-duster.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-logan.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-sandero.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Bigster-2025-Neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Spring-2023-Neuve-Maroc-09.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Logan-2021-Neuve-Maroc-04.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Duster-2022-Neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Duster-2018-neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Lodgy-Stepway-2016-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Logan-2016-neuve-Maroc-03.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Logan-2-2014-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Sandero-2016-neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Duster-2016-neuve-Maroc-12.jpg,1.5 dCi 95,ch,Diesel,6cv,2 roues motrices ( 4x2 ou 2WD ),4 cylindres en ligne,220Nm,"4,1l/100 km",sec.,172km/h,"13,9sec.",Citadine,Citadine,5,1.122kg,litre,409cm,184cm,150cm,260cm,4,OUI,OUI,NO,OUI,OUI,OUI,NO,NO,NO,OUI,NO,OUI,OUI,OUI,NO,auto.,"Radio, USB",OUI,NO,OUI,OUI,OUI,OUI,OUI,NO,NO,NO,,,NO,OUI,NO,Mains libresDémarrage,OUI,NO,NO,,NO,NO,OUI,NO,NO,OUI,NO,NO,,Tissu,NO,NO,NO,,full LED,Rigide,NO,OUI,,Feux de jourLED,1.461cm³,"5,5l/100 km","3,8l/100 km",109g/km,et Profondeur,aluminium16 pouces,,,
1,Dacia Logan,1.0 TCe 100 Essential,https://www.wandaloo.com/neuf/dacia/logan/fiche-technique/1-0-tce-100-essential/18701.html,135.000DH,https://www.wandaloo.com/files/Voiture-Neuve/dacia-logan.jpg,DACIA Logan1.0 TCe 100 Essential neuve au Maroc - Fiche Technique,Mon comparatif,135.000DH ** Prix public,https://www.wandaloo.com/files/Voiture-Neuve/dacia-logan-.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-bigster.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-duster.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-logan.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-sandero.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Bigster-2025-Neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Spring-2023-Neuve-Maroc-09.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Logan-2021-Neuve-Maroc-04.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Duster-2022-Neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Duster-2018-neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Lodgy-Stepway-2016-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Logan-2016-neuve-Maroc-03.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Logan-2-2014-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Sandero-2016-neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Duster-2016-neuve-Maroc-12.jpg,1.0 TCe 100,ch,Essence,7cv,2 roues motrices ( 4x2 ou 2WD ),3 cylindres en ligne,160Nm,"5,5l/100 km",sec.,165km/h,"14,2sec.",Citadine,Citadine tricorps,5,1.012kg,litre,435cm,173cm,152cm,263cm,2,OUI,OUI,NO,OUI,OUI,OUI,NO,NO,NO,NO,NO,OUI,OUI,OUI,NO,manuelle,"Radio, USB",OUI,NO,OUI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OUI,NO,Vitres électriquesElectrique AV,OUI,NO,NO,NO,NO,NO,OUI,NO,NO,OUI,NO,NO,NO,Tissu,NO,NO,NO,OUI,Standard,Rigide,NO,NO,,,999cm³,"6,4l/100 km","4,9l/100 km",127g/km,et Profondeur,,,,
1,Dacia Logan,1.0 TCe 100 CVT Essential,https://www.wandaloo.com/neuf/dacia/logan/fiche-technique/1-0-tce-100-cvt-essential/18702.html,149.000DH,https://www.wandaloo.com/files/Voiture-Neuve/dacia-logan.jpg,DACIA Logan1.0 TCe 100 CVT Essential neuve au Maroc - Fiche Technique,Mon comparatif,149.000DH ** Prix public,https://www.wandaloo.com/files/Voiture-Neuve/dacia-logan-.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-bigster.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-duster.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-logan.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-sandero.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Bigster-2025-Neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Spring-2023-Neuve-Maroc-09.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Logan-2021-Neuve-Maroc-04.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Duster-2022-Neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Duster-2018-neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Lodgy-Stepway-2016-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Logan-2016-neuve-Maroc-03.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Logan-2-2014-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Sandero-2016-neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Duster-2016-neuve-Maroc-12.jpg,1.0 TCe 100 CVT,ch,Essence,7cv,2 roues motrices ( 4x2 ou 2WD ),3 cylindres,142Nm,"5,8l/100 km",sec.,165km/h,"14,2sec.",Citadine,Citadine tricorps,5,1.012kg,litre,435cm,173cm,152cm,263cm,2,OUI,OUI,NO,OUI,OUI,OUI,NO,NO,NO,NO,NO,OUI,OUI,OUI,NO,manuelle,"Radio, USB",OUI,NO,OUI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OUI,NO,Vitres électriquesElectrique AV,OUI,NO,NO,NO,NO,NO,OUI,NO,NO,OUI,NO,NO,NO,Tissu,NO,NO,NO,OUI,Standard,Rigide,NO,NO,,,999cm³,"6,8l/100 km","5,2l/100 km",135g/km,et Profondeur,,,,
1,Dacia Logan,1.5 dCi 95 Essential,https://www.wandaloo.com/neuf/dacia/logan/fiche-technique/1-5-dci-95-essential/18705.html,152.000DH,https://www.wandaloo.com/files/Voiture-Neuve/dacia-logan.jpg,DACIA Logan1.5 dCi 95 Essential neuve au Maroc - Fiche Technique,Mon comparatif,152.000DH ** Prix public,https://www.wandaloo.com/files/Voiture-Neuve/dacia-logan-.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-bigster.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-duster.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-logan.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-sandero.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Bigster-2025-Neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Spring-2023-Neuve-Maroc-09.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Logan-2021-Neuve-Maroc-04.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Duster-2022-Neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Duster-2018-neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Lodgy-Stepway-2016-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Logan-2016-neuve-Maroc-03.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Logan-2-2014-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Sandero-2016-neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Duster-2016-neuve-Maroc-12.jpg,1.5 dCi 95,ch,Diesel,6cv,2 roues motrices ( 2WD ou 4x2 ),4 cylindres en ligne,220Nm,"4,1l/100 km",sec.,172km/h,"13,9sec.",Citadine,Citadine tricorps,5,1.012kg,litre,435cm,173cm,152cm,263cm,2,OUI,OUI,NO,OUI,OUI,OUI,NO,NO,NO,NO,NO,OUI,OUI,OUI,NO,manuelle,"Radio, USB",OUI,NO,OUI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OUI,NO,Vitres électriquesElectrique AV,OUI,NO,NO,NO,NO,NO,OUI,NO,NO,OUI,NO,NO,NO,Tissu,NO,NO,NO,OUI,Standard,Rigide,NO,NO,,,1.461cm³,"5,5l/100 km","3,8l/100 km",106g/km,et Profondeur,,,,
1,Dacia Logan,1.0 TCe 100 CVT Expression,https://www.wandaloo.com/neuf/dacia/logan/fiche-technique/1-0-tce-100-cvt-expression/18703.html,160.000DH,https://www.wandaloo.com/files/Voiture-Neuve/dacia-logan.jpg,DACIA Logan1.0 TCe 100 CVT Expression neuve au Maroc - Fiche Technique,Mon comparatif,160.000DH ** Prix public,https://www.wandaloo.com/files/Voiture-Neuve/dacia-logan-.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-bigster.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-duster.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-logan.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia-sandero.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Bigster-2025-Neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Spring-2023-Neuve-Maroc-09.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Logan-2021-Neuve-Maroc-04.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Duster-2022-Neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Duster-2018-neuve-Maroc-08.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/DACIA-Lodgy-Stepway-2016-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Logan-2016-neuve-Maroc-03.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Logan-2-2014-Neuve-Maroc-01.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Sandero-2016-neuve-Maroc-02.jpg; https://www.wandaloo.com/files/Voiture-Neuve/dacia/Dacia-Duster-2016-neuve-Maroc-12.jpg,1.0 TCe 100 CVT,ch,Essence,7cv,2 roues motrices ( 4x2 ou 2WD ),3 cylindres en ligne,142Nm,"5,8l/100 km",sec.,165km/h,"14,2sec.",Citadine,Citadine tricorps,5,1.012kg,litre,435cm,173cm,152cm,263cm,2,OUI,OUI,NO,OUI,OUI,OUI,NO,NO,NO,NO,NO,OUI,OUI,OUI,NO,manuelle,"Radio, USB",OUI,NO,OUI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OUI,NO,Vitres électriquesElectrique AV,OUI,NO,NO,NO,NO,NO,OUI,NO,NO,OUI,NO,NO,NO,Tissu,NO,NO,NO,OUI,Standard,Rigide,NO,NO,,,999cm³,"6,8l/100 km","5,2l/100 km",135g/km,et Profondeur,,,,
